ma/ma_var2,perf/var2,perf/var1,time-step
163.8,0,464,278
191.7,279,530,279
164.7,0,274,280
165.7,281,431,281
166.7,282,557,282
195.0,283,458,283
167.6,0,894,284
140.1,0,728,285
141.1,286,711,286
169.8,287,730,287
198.6,288,60,288
170.7,0,901,289
199.7,290,246,290
171.6,0,311,291
172.6,292,485,292
173.6,293,522,293
173.6,0,163,294
173.6,0,921,295
145.0,0,167,296
116.3,0,275,297
117.3,298,316,298
117.3,0,223,299
118.3,300,212,300
118.3,0,918,301
89.1,0,225,302
90.1,303,108,303
120.5,304,849,304
151.0,305,521,305
151.0,0,429,306
151.0,0,326,307
152.0,308,781,308
182.9,309,349,309
152.9,0,173,310
152.9,0,151,311
152.9,0,367,312
122.6,0,527,313
92.2,0,538,314
61.7,0,284,315
93.3,316,104,316
125.0,317,79,317
126.0,318,757,318
95.1,0,953,319
95.1,0,140,320
95.1,0,898,321
127.3,322,708,322
159.6,323,38,323
192.0,324,809,324
224.5,325,827,325
225.5,326,215,326
226.5,327,302,327
227.5,328,73,328
260.4,329,970,329
293.4,330,158,330
326.5,331,933,331
327.5,332,937,332
295.2,0,759,333
296.2,334,154,334
263.7,0,548,335
264.7,336,42,336
232.0,0,197,337
233.0,338,578,338
234.0,339,103,339
201.0,0,295,340
167.9,0,273,341
168.9,342,554,342
168.9,0,637,343
169.9,344,791,344
169.9,0,446,345
170.9,346,231,346
170.9,0,15,347
137.1,0,663,348
103.2,0,92,349
138.2,350,550,350
138.2,0,893,351
139.2,352,716,352
139.2,0,439,353
104.8,0,100,354
140.3,355,504,355
105.7,0,414,356
141.4,357,754,357
177.2,358,451,358
213.1,359,806,359
214.1,360,779,360
250.2,361,294,361
251.2,362,23,362
287.5,363,969,363
323.9,364,673,364
324.9,365,262,365
324.9,0,833,366
325.9,367,627,367
326.9,368,615,368
327.9,369,138,369
291.9,0,365,370
292.9,371,26,371
256.7,0,983,372
257.7,373,807,373
221.3,0,946,374
222.3,375,328,375
222.3,0,955,376
185.6,0,888,377
186.6,378,724,378
149.7,0,211,379
187.7,380,283,380
150.6,0,181,381
150.6,0,472,382
151.6,383,294,383
190.0,384,175,384
152.5,0,157,385
191.1,386,796,386
229.8,387,744,387
192.0,0,702,388
230.9,389,829,389
231.9,390,485,390
271.0,391,207,391
271.0,0,674,392
272.0,393,257,393
233.6,0,84,394
233.6,0,566,395
234.6,396,281,396
235.6,397,402,397
275.4,398,719,398
276.4,399,979,399
277.4,400,36,400
278.4,401,938,401
318.6,402,376,402
319.6,403,381,403
319.6,0,632,404
360.1,405,198,405
361.1,406,969,406
321.4,0,264,407
281.6,0,437,408
241.7,0,44,409
242.7,410,779,410
202.6,0,622,411
162.4,0,592,412
122.1,0,16,413
122.1,0,876,414
123.1,415,139,415
124.1,416,641,416
165.8,417,676,417
207.6,418,588,418
207.6,0,706,419
166.6,0,166,420
208.7,421,165,421
250.9,422,950,422
293.2,423,671,423
293.2,0,248,424
251.7,0,73,425
252.7,426,700,426
211.0,0,77,427
169.2,0,406,428
212.1,429,318,429
212.1,0,475,430
170.0,0,124,431
127.8,0,29,432
85.5,0,875,433
128.9,434,478,434
172.4,435,406,435
173.4,436,62,436
173.4,0,229,437
173.4,0,399,438
130.5,0,368,439
130.5,0,878,440
174.6,441,743,441
218.8,442,355,442
218.8,0,17,443
175.4,0,279,444
131.9,0,171,445
88.3,0,996,446
88.3,0,286,447
88.3,0,982,448
133.2,449,976,449
133.2,0,480,450
89.1,0,997,451
90.1,452,892,452
135.4,453,560,453
180.8,454,819,454
180.8,0,959,455
226.4,456,744,456
272.1,457,414,457
317.9,458,13,458
318.9,459,103,459
318.9,0,963,460
318.9,0,204,461
319.9,462,158,462
274.6,0,468,463
229.2,0,542,464
229.2,0,537,465
183.6,0,205,466
184.6,467,97,467
138.8,0,461,468
139.8,469,40,469
139.8,0,748,470
139.8,0,568,471
93.6,0,813,472
93.6,0,680,473
141.0,474,976,474
141.0,0,494,475
188.6,476,241,476
189.6,477,119,477
237.4,478,457,478
238.4,479,697,479
286.4,480,454,480
286.4,0,914,481
334.6,482,305,482
382.9,483,717,483
335.5,0,994,484
384.0,485,511,485
336.4,0,528,486
288.7,0,980,487
289.7,488,318,488
290.7,489,389,489
291.7,490,375,490
291.7,0,186,491
292.7,492,951,492
244.4,0,605,493
244.4,0,148,494
195.9,0,184,495
245.5,496,572,496
245.5,0,167,497
246.5,498,120,498
197.6,0,892,499
198.6,500,114,500
248.7,501,573,501
249.7,502,25,502
249.7,0,760,503
300.1,504,999,504
350.6,505,105,505
351.6,506,442,506
351.6,0,163,507
352.6,508,114,508
352.6,0,520,509
353.6,510,778,510
303.5,0,347,511
304.5,512,934,512
355.8,513,939,513
305.4,0,902,514
254.9,0,218,515
255.9,516,549,516
307.6,517,891,517
256.8,0,272,518
308.7,519,894,519
257.7,0,325,520
257.7,0,21,521
206.5,0,592,522
155.2,0,467,523
207.6,524,436,524
260.1,525,180,525
208.5,0,287,526
156.8,0,774,527
209.6,528,813,528
210.6,529,79,529
263.6,530,410,530
316.7,531,59,531
369.9,532,263,532
369.9,0,922,533
317.5,0,832,534
265.0,0,947,535
318.6,536,984,536
318.6,0,945,537
265.8,0,690,538
266.8,539,290,539
213.8,0,178,540
160.7,0,961,541
107.5,0,999,542
161.8,543,242,543
216.2,544,505,544
216.2,0,275,545
162.6,0,979,546
162.6,0,398,547
217.4,548,888,548
218.4,549,340,549
218.4,0,733,550
273.5,551,528,551
273.5,0,857,552
274.5,553,850,553
220.1,0,86,554
275.6,555,861,555
331.2,556,91,556
386.9,557,493,557
387.9,558,581,558
333.0,0,816,559
389.0,560,740,560
333.9,0,714,561
390.1,562,646,562
391.1,563,730,563
447.5,564,585,564
392.0,0,430,565
393.0,566,297,566
394.0,567,876,567
395.0,568,252,568
451.9,569,416,569
452.9,570,490,570
452.9,0,73,571
453.9,572,926,572
397.6,0,480,573
398.6,574,878,574
456.1,575,585,575
399.5,0,734,576
342.8,0,206,577
343.8,578,222,578
286.9,0,801,579
287.9,580,885,580
346.0,581,819,581
347.0,582,434,582
405.3,583,871,583
347.9,0,35,584
348.9,585,74,585
348.9,0,850,586
348.9,0,890,587
291.1,0,28,588
291.1,0,240,589
233.1,0,231,590
175.0,0,898,591
176.0,592,976,592
117.7,0,216,593
117.7,0,32,594
59.2,0,43,595
59.2,0,476,596
118.9,597,947,597
178.7,598,521,598
178.7,0,641,599
178.7,0,591,600
178.7,0,969,601
179.7,602,784,602
179.7,0,228,603
240.1,604,111,604
240.1,0,558,605
240.1,0,799,606
241.1,607,131,607
181.3,0,486,608
181.3,0,485,609
242.3,610,564,610
303.4,611,489,611
304.4,612,872,612
304.4,0,760,613
244.0,0,997,614
244.0,0,653,615
305.6,616,814,616
306.6,617,334,617
306.6,0,48,618
306.6,0,407,619
307.6,620,34,620
308.6,621,598,621
309.6,622,41,622
371.9,623,522,623
434.3,624,466,624
496.8,625,31,625
497.8,626,603,626
498.8,627,928,627
498.8,0,922,628
561.7,629,820,629
499.7,0,794,630
500.7,631,124,631
438.5,0,369,632
376.2,0,468,633
377.2,634,175,634
314.7,0,187,635
315.7,636,842,636
316.7,637,22,637
380.5,638,861,638
381.5,639,737,639
381.5,0,86,640
382.5,641,319,641
382.5,0,894,642
446.8,643,92,643
383.4,0,193,644
383.4,0,479,645
384.4,646,508,646
385.4,647,502,647
386.4,648,19,648
322.5,0,784,649
322.5,0,6,650
258.4,0,731,651
323.6,652,516,652
259.3,0,954,653
259.3,0,16,654
324.8,655,337,655
260.2,0,958,656
261.2,657,159,657
196.4,0,314,658
262.3,659,167,659
262.3,0,987,660
328.4,661,480,661
329.4,662,185,662
329.4,0,864,663
395.8,664,87,664
396.8,665,957,665
463.4,666,753,666
397.7,0,575,667
397.7,0,323,668
331.8,0,772,669
331.8,0,970,670
332.8,671,699,671
266.6,0,265,672
266.6,0,51,673
200.2,0,710,674
133.7,0,326,675
67.1,0,485,676
67.1,0,740,677
134.9,678,151,678
202.8,679,872,679
270.8,680,496,680
271.8,681,645,681
340.0,682,587,682
408.3,683,919,683
408.3,0,558,684
408.3,0,884,685
408.3,0,527,686
477.0,687,601,687
478.0,688,71,688
479.0,689,837,689
480.0,690,509,690
411.9,0,460,691
343.7,0,476,692
344.7,693,760,693
344.7,0,546,694
414.2,695,49,695
483.8,696,325,696
484.8,697,207,697
416.0,0,983,698
417.0,699,33,699
418.0,700,350,700
488.1,701,441,701
488.1,0,223,702
418.8,0,528,703
418.8,0,870,704
349.3,0,452,705
350.3,706,799,706
351.3,707,532,707
351.3,0,207,708
281.4,0,870,709
211.4,0,508,710
212.4,711,211,711
283.6,712,373,712
283.6,0,12,713
355.0,714,465,714
355.0,0,393,715
284.4,0,37,716
285.4,717,438,717
357.2,718,382,718
357.2,0,337,719
357.2,0,25,720
358.2,721,575,721
287.0,0,44,722
359.3,723,27,723
287.9,0,946,724
287.9,0,226,725
287.9,0,11,726
288.9,727,117,727
217.1,0,906,728
217.1,0,229,729
217.1,0,405,730
218.1,731,501,731
291.3,732,994,732
219.0,0,696,733
292.4,734,160,734
292.4,0,387,735
292.4,0,875,736
293.4,737,957,737
293.4,0,183,738
367.3,739,267,739
441.3,740,980,740
442.3,741,556,741
369.1,0,385,742
443.4,743,319,743
370.0,0,286,744
444.5,745,412,745
444.5,0,485,746
370.8,0,530,747
445.6,748,752,748
446.6,749,345,749
447.6,750,957,750
373.5,0,738,751
448.7,752,260,752
374.4,0,333,753
374.4,0,303,754
375.4,755,621,755
375.4,0,204,756
451.1,757,407,757
452.1,758,508,758
453.1,759,152,759
454.1,760,719,760
454.1,0,847,761
378.9,0,759,762
455.2,763,866,763
455.2,0,924,764
456.2,765,476,765
532.8,766,603,766
457.1,0,751,767
381.3,0,946,768
382.3,769,899,769
306.3,0,153,770
383.4,771,633,771
383.4,0,467,772
307.1,0,141,773
384.5,774,88,774
308.0,0,923,775
309.0,776,723,776
309.0,0,375,777
309.0,0,2,778
310.0,779,877,779
388.0,780,111,780
389.0,781,868,781
467.2,782,544,782
467.2,0,145,783
389.8,0,534,784
468.3,785,692,785
469.3,786,62,786
548.0,787,316,787
548.0,0,237,788
470.1,0,572,789
471.1,790,344,790
472.1,791,982,791
473.1,792,920,792
473.1,0,441,793
552.5,794,752,794
553.5,795,579,795
554.5,796,881,796
555.5,797,608,797
635.3,798,161,798
715.2,799,451,799
636.2,0,886,800
637.2,801,769,801
638.2,802,833,802
638.2,0,222,803
639.2,804,734,804
640.2,805,487,805
560.6,0,721,806
561.6,807,576,807
562.6,808,965,808
482.7,0,897,809
563.7,810,279,810
483.6,0,964,811
403.4,0,739,812
484.7,813,778,813
404.3,0,353,814
323.8,0,59,815
405.4,816,654,816
406.4,817,937,817
325.6,0,366,818
407.5,819,893,819
326.5,0,687,820
408.6,821,736,821
490.8,822,659,822
409.5,0,8,823
409.5,0,338,824
409.5,0,540,825
327.9,0,404,826
328.9,827,667,827
328.9,0,463,828
247.0,0,881,829
330.0,830,42,830
247.9,0,249,831
248.9,832,379,832
332.2,833,3,833
415.6,834,79,834
415.6,0,46,835
415.6,0,208,836
416.6,837,93,837
500.4,838,960,838
500.4,0,18,839
501.4,840,836,840
501.4,0,261,841
418.2,0,646,842
419.2,843,430,843
335.8,0,834,844
335.8,0,280,845
420.4,846,761,846
421.4,847,647,847
337.6,0,287,848
337.6,0,997,849
338.6,850,232,850
423.7,851,356,851
423.7,0,56,852
339.4,0,775,853
424.8,854,253,854
424.8,0,381,855
340.2,0,802,856
341.2,857,515,857
427.0,858,494,858
512.9,859,806,859
513.9,860,878,860
428.8,0,453,861
428.8,0,746,862
428.8,0,520,863
429.8,864,498,864
429.8,0,383,865
429.8,0,72,866
344.1,0,911,867
345.1,868,947,868
346.1,869,705,869
260.1,0,619,870
260.1,0,623,871
260.1,0,550,872
347.4,873,471,873
348.4,874,782,874
348.4,0,860,875
436.0,876,727,876
523.7,877,61,877
436.9,0,495,878
350.0,0,519,879
438.0,880,959,880
438.0,0,165,881
526.2,882,935,882
438.9,0,250,883
351.5,0,497,884
440.0,885,656,885
441.0,886,519,886
353.3,0,201,887
442.1,888,997,888
531.0,889,691,889
532.0,890,736,890
532.0,0,335,891
533.0,892,44,892
622.3,893,925,893
622.3,0,314,894
533.8,0,13,895
445.2,0,937,896
534.9,897,813,897
535.9,898,764,898
536.9,899,655,899
537.9,900,718,900
537.9,0,276,901
448.7,0,689,902
449.7,903,184,903
449.7,0,114,904
449.7,0,779,905
449.7,0,816,906
360.0,0,561,907
361.0,908,109,908
362.0,909,170,909
272.0,0,251,910
272.0,0,180,911
272.0,0,794,912
273.0,913,19,913
364.4,914,129,914
364.4,0,418,915
364.4,0,587,916
364.4,0,609,917
365.4,918,39,918
274.5,0,292,919
366.5,920,671,920
366.5,0,545,921
366.5,0,817,922
275.2,0,597,923
276.2,924,510,924
276.2,0,193,925
276.2,0,368,926
276.2,0,313,927
277.2,928,21,928
277.2,0,790,929
185.2,0,0,930
278.3,931,519,931
278.3,0,650,932
278.3,0,7,933
279.3,934,698,934
372.8,935,85,935
466.4,936,649,936
560.1,937,879,937
561.1,938,63,938
655.0,939,439,939
749.0,940,508,940
750.0,941,954,941
844.2,942,467,942
938.5,943,672,943
845.1,0,904,944
751.6,0,682,945
752.6,946,894,946
658.9,0,223,947
565.1,0,957,948
566.1,949,444,949
567.1,950,805,950
568.1,951,856,951
569.1,952,197,952
474.8,0,477,953
474.8,0,311,954
570.3,955,670,955
475.7,0,551,956
571.4,957,632,957
571.4,0,626,958
572.4,959,95,959
573.4,960,801,960
574.4,961,607,961
479.2,0,632,962
479.2,0,713,963
479.2,0,846,964
383.7,0,151,965
480.3,966,681,966
481.3,967,473,967
481.3,0,543,968
482.3,969,788,969
483.3,970,464,970
484.3,971,802,971
484.3,0,496,972
581.6,973,168,973
679.0,974,283,974
776.5,975,100,975
679.9,0,155,976
680.9,977,703,977
778.7,978,866,978
681.8,0,143,979
584.8,0,322,980
585.8,981,371,981
684.0,982,17,982
685.0,983,177,983
587.6,0,897,984
588.6,985,809,985
687.2,986,707,986
688.2,987,434,987
689.2,988,314,988
689.2,0,738,989
788.2,990,814,990
690.1,0,719,991
691.1,992,455,992
692.1,993,105,993
692.1,0,877,994
593.6,0,561,995
495.0,0,76,996
496.0,997,118,997
397.2,0,380,998
497.1,999,503,999
