perf/var1,perf/var2,time-step,ma/ma_var2
234,0,186,72.5
174,187,187,91.2
339,188,188,110.0
887,189,189,111.0
839,0,190,111.0
972,0,191,92.9
693,0,192,74.7
448,0,193,56.4
369,194,194,75.8
66,0,195,75.8
732,196,196,95.4
651,197,197,96.4
311,0,198,77.6
68,0,199,58.7
713,200,200,78.7
397,201,201,98.8
224,202,202,119.0
329,0,203,119.0
359,0,204,99.6
24,0,205,99.6
85,206,206,100.6
856,0,207,80.9
282,208,208,101.7
542,0,209,101.7
296,0,210,81.7
403,0,211,61.6
343,212,212,62.6
940,0,213,62.6
201,0,214,62.6
252,0,215,62.6
172,216,216,63.6
661,217,217,85.3
520,0,218,64.5
816,219,219,86.4
695,0,220,86.4
969,0,221,86.4
462,222,222,87.4
599,0,223,87.4
202,0,224,87.4
82,225,225,109.9
936,0,226,88.3
518,227,227,89.3
354,0,228,89.3
289,229,229,90.3
603,0,230,90.3
384,231,231,113.4
788,232,232,114.4
724,0,233,114.4
175,0,234,114.4
35,235,235,115.4
681,0,236,115.4
447,0,237,92.7
375,238,238,116.5
368,239,239,117.5
695,0,240,117.5
345,241,241,118.5
859,0,242,95.3
298,243,243,119.6
627,0,244,119.6
120,245,245,120.6
636,246,246,145.2
542,247,247,169.9
817,248,248,170.9
538,249,249,171.9
536,0,250,171.9
235,251,251,172.9
652,252,252,198.1
355,0,253,173.8
194,254,254,199.2
511,255,255,200.2
866,256,256,201.2
504,0,257,176.5
351,258,258,177.5
718,259,259,178.5
397,260,260,204.5
174,261,261,205.5
755,262,262,206.5
983,263,263,232.8
634,264,264,233.8
114,0,265,208.3
740,0,266,182.7
777,267,267,209.4
60,0,268,183.6
180,269,269,184.6
578,270,270,185.6
81,0,271,159.5
941,272,272,160.5
591,0,273,134.2
141,0,274,107.8
526,0,275,107.8
260,276,276,135.4
985,0,277,108.7
98,0,278,108.7
930,279,279,109.7
905,280,280,110.7
437,0,281,110.7
35,282,282,111.7
222,0,283,111.7
119,0,284,111.7
698,285,285,140.2
456,286,286,141.2
868,0,287,141.2
109,288,288,170.0
532,289,289,171.0
616,290,290,172.0
261,0,291,172.0
777,0,292,143.8
35,293,293,173.1
974,294,294,202.5
704,0,295,174.0
125,0,296,145.4
699,0,297,145.4
495,0,298,116.6
924,0,299,87.7
435,0,300,58.7
173,301,301,88.8
11,302,302,119.0
562,0,303,89.7
1,0,304,60.3
374,305,305,90.8
423,0,306,90.8
134,307,307,121.5
387,0,308,121.5
118,0,309,121.5
573,0,310,121.5
133,0,311,91.4
552,312,312,92.4
686,0,313,92.4
435,0,314,92.4
874,0,315,61.9
209,0,316,61.9
958,317,317,62.9
721,0,318,62.9
378,319,319,94.8
764,0,320,94.8
736,0,321,94.8
579,322,322,95.8
789,0,323,95.8
530,0,324,95.8
872,0,325,95.8
491,0,326,95.8
856,327,327,96.8
707,0,328,96.8
970,0,329,64.9
855,330,330,97.9
96,331,331,131.0
32,332,332,132.0
707,0,333,132.0
364,334,334,165.4
831,335,335,198.9
728,336,336,232.5
453,337,337,233.5
757,338,338,267.3
459,339,339,301.2
418,340,340,302.2
291,341,341,303.2
540,342,342,304.2
503,0,343,304.2
535,344,344,305.2
475,0,345,271.7
340,346,346,272.7
43,347,347,273.7
672,348,348,274.7
888,349,349,275.7
289,350,350,276.7
833,351,351,277.7
629,0,352,243.5
909,0,353,243.5
107,0,354,209.1
144,0,355,209.1
898,356,356,210.1
728,357,357,211.1
151,358,358,212.1
683,0,359,177.2
4,360,360,178.2
30,0,361,143.1
159,0,362,143.1
374,0,363,143.1
641,0,364,143.1
667,365,365,179.6
615,366,366,180.6
574,0,367,144.9
405,368,368,145.9
725,369,369,182.8
840,370,370,183.8
275,371,371,220.9
316,0,372,220.9
249,0,373,220.9
851,0,374,220.9
564,375,375,221.9
424,0,376,185.3
870,377,377,223.0
881,378,378,224.0
733,379,379,225.0
132,0,380,188.0
122,381,381,189.0
645,382,382,227.2
635,0,383,227.2
547,384,384,265.6
341,385,385,266.6
558,386,386,305.2
942,0,387,267.5
767,388,388,268.5
117,0,389,230.6
44,0,390,230.6
327,391,391,231.6
433,392,392,232.6
652,393,393,271.9
794,0,394,233.5
709,0,395,195.0
3,396,396,196.0
280,0,397,196.0
110,0,398,157.2
92,0,399,157.2
733,0,400,157.2
18,0,401,118.1
911,402,402,119.1
753,0,403,79.8
848,0,404,79.8
107,0,405,79.8
363,0,406,40.2
277,407,407,80.9
277,0,408,80.9
745,0,409,80.9
547,0,410,80.9
965,0,411,80.9
671,0,412,40.7
617,0,413,40.7
625,414,414,82.1
581,415,415,123.6
837,0,416,123.6
67,417,417,124.6
201,0,418,124.6
837,419,419,166.5
562,0,420,166.5
558,421,421,208.6
293,0,422,208.6
961,0,423,208.6
145,424,424,209.6
395,425,425,210.6
452,0,426,210.6
276,0,427,168.9
580,428,428,211.7
597,0,429,169.8
97,430,430,212.8
766,431,431,213.8
401,0,432,213.8
459,0,433,213.8
295,434,434,214.8
81,0,435,172.3
787,0,436,172.3
460,437,437,216.0
818,0,438,173.2
753,439,439,217.1
769,0,440,174.1
753,0,441,131.0
88,442,442,175.2
399,0,443,175.2
566,0,444,131.8
335,445,445,176.3
805,0,446,176.3
119,447,447,177.3
447,448,448,222.1
308,449,449,223.1
915,0,450,223.1
541,0,451,223.1
824,452,452,224.1
600,453,453,269.4
949,454,454,314.8
997,0,455,270.3
787,0,456,270.3
946,457,457,271.3
22,458,458,272.3
402,459,459,273.3
575,0,460,273.3
526,461,461,319.4
425,462,462,320.4
489,463,463,321.4
452,464,464,322.4
112,465,465,368.9
867,0,466,368.9
234,467,467,369.9
878,468,468,370.9
619,0,469,325.0
750,470,470,372.0
790,471,471,373.0
950,0,472,326.8
895,0,473,280.5
39,0,474,234.1
627,475,475,235.1
336,0,476,235.1
178,0,477,188.4
320,0,478,141.6
692,479,479,189.5
899,0,480,142.5
314,481,481,143.5
872,0,482,143.5
867,483,483,191.8
812,484,484,240.2
842,0,485,192.7
390,0,486,192.7
438,0,487,192.7
446,0,488,192.7
196,0,489,144.8
867,490,490,193.8
39,491,491,194.8
958,0,492,194.8
513,0,493,146.5
534,0,494,98.1
835,495,495,147.6
327,496,496,197.2
817,497,497,246.9
390,0,498,246.9
190,499,499,296.8
142,500,500,297.8
197,0,501,248.7
103,0,502,248.7
419,0,503,248.7
445,504,504,299.1
364,505,505,300.1
0,0,506,250.5
270,0,507,200.8
197,0,508,200.8
467,509,509,201.8
172,0,510,151.8
705,511,511,202.9
703,512,512,254.1
547,513,513,305.4
846,0,514,255.0
706,515,515,256.0
843,0,516,256.0
353,517,517,307.7
456,0,518,307.7
9,0,519,256.8
639,0,520,256.8
783,0,521,205.7
381,522,522,206.7
725,523,523,207.7
151,0,524,207.7
247,0,525,156.2
410,526,526,208.8
407,527,527,209.8
64,528,528,262.6
732,0,529,262.6
396,0,530,262.6
18,531,531,315.7
22,532,532,316.7
70,0,533,264.4
259,534,534,317.8
409,0,535,317.8
482,536,536,318.8
408,0,537,266.1
673,538,538,267.1
229,0,539,267.1
443,0,540,267.1
992,541,541,268.1
189,0,542,214.9
790,0,543,214.9
544,544,544,215.9
84,545,545,270.4
516,546,546,271.4
292,0,547,271.4
509,0,548,217.6
905,549,549,272.5
64,0,550,272.5
484,0,551,218.4
76,0,552,218.4
243,553,553,273.7
552,554,554,274.7
79,555,555,275.7
430,556,556,276.7
361,557,557,332.4
368,0,558,332.4
505,559,559,333.4
949,560,560,389.4
882,0,561,389.4
162,562,562,445.6
123,0,563,390.3
883,564,564,391.3
536,565,565,392.3
478,566,566,393.3
614,567,567,394.3
576,568,568,451.1
765,569,569,452.1
682,0,570,396.1
270,571,571,453.2
11,572,572,454.2
976,0,573,454.2
769,0,574,397.8
317,0,575,341.3
47,576,576,342.3
111,577,577,343.3
603,578,578,344.3
338,0,579,287.4
529,580,580,345.4
262,0,581,288.3
779,582,582,289.3
349,0,583,289.3
716,0,584,289.3
938,585,585,347.8
73,586,586,348.8
603,0,587,291.1
747,588,588,292.1
928,0,589,292.1
683,0,590,234.1
709,591,591,293.2
627,0,592,235.0
210,593,593,294.3
989,0,594,294.3
104,595,595,295.3
183,596,596,296.3
657,0,597,296.3
459,598,598,297.3
882,599,599,357.2
852,600,600,417.2
236,601,601,418.2
663,602,602,478.4
363,0,603,419.1
481,604,604,479.5
33,605,605,480.5
697,0,606,420.9
594,607,607,481.6
145,608,608,482.6
376,609,609,483.6
205,610,610,484.6
937,0,611,424.5
653,0,612,364.3
479,0,613,364.3
322,614,614,365.3
347,0,615,304.8
419,616,616,366.4
518,0,617,305.7
887,0,618,244.9
426,0,619,184.0
46,0,620,123.0
406,621,621,185.1
536,622,622,247.3
569,623,623,309.6
910,624,624,310.6
402,625,625,373.1
128,626,626,374.1
859,0,627,374.1
230,0,628,374.1
49,629,629,437.0
556,0,630,437.0
313,0,631,374.9
41,0,632,312.7
291,0,633,250.4
314,0,634,188.0
313,635,635,189.0
191,0,636,126.4
195,637,637,190.1
226,638,638,253.9
542,0,639,191.0
872,640,640,255.0
75,0,641,255.0
684,642,642,319.2
886,643,643,383.5
307,644,644,447.9
528,0,645,384.4
516,0,646,384.4
757,647,647,385.4
802,648,648,386.4
677,649,649,451.3
735,0,650,387.3
50,0,651,387.3
464,0,652,323.1
512,0,653,258.8
808,0,654,194.4
866,655,655,259.9
287,656,656,325.5
661,0,657,260.8
24,0,658,196.0
58,659,659,197.0
609,660,660,263.0
514,661,661,329.1
606,0,662,329.1
795,663,663,395.4
233,664,664,461.8
730,0,665,396.3
20,0,666,330.7
926,0,667,330.7
357,0,668,330.7
77,0,669,264.8
132,0,670,198.8
903,0,671,132.7
754,672,672,199.9
679,673,673,200.9
248,674,674,201.9
86,675,675,269.4
16,0,676,269.4
85,677,677,337.1
370,0,678,337.1
548,679,679,405.0
471,0,680,405.0
532,0,681,405.0
20,0,682,337.8
474,0,683,270.5
324,0,684,203.1
210,685,685,204.1
939,0,686,204.1
269,0,687,136.4
864,688,688,205.2
564,0,689,137.3
498,0,690,137.3
287,0,691,137.3
127,692,692,206.5
716,0,693,206.5
823,694,694,275.9
924,695,695,276.9
286,0,696,276.9
940,697,697,346.6
201,698,698,347.6
697,0,699,347.6
3,0,700,347.6
445,701,701,417.7
211,702,702,418.7
358,0,703,418.7
212,0,704,349.3
838,0,705,279.8
325,706,706,350.4
667,707,707,351.4
488,708,708,352.4
597,709,709,423.3
407,710,710,494.3
186,0,711,424.2
17,712,712,425.2
544,0,713,425.2
582,0,714,425.2
393,0,715,425.2
44,716,716,426.2
815,0,717,355.5
304,718,718,356.5
905,0,719,285.6
810,0,720,214.6
148,721,721,286.7
95,722,722,287.7
466,0,723,287.7
581,0,724,287.7
363,0,725,287.7
746,726,726,288.7
422,727,727,361.4
558,728,728,362.4
635,729,729,435.3
448,0,730,435.3
617,0,731,363.2
266,0,732,291.0
827,0,733,291.0
890,734,734,364.4
695,0,735,364.4
526,736,736,365.4
189,737,737,366.4
336,0,738,293.6
492,0,739,220.7
243,0,740,220.7
912,0,741,220.7
276,742,742,294.9
409,743,743,369.2
356,0,744,295.8
86,0,745,295.8
177,0,746,222.2
662,747,747,223.2
941,0,748,223.2
887,0,749,223.2
806,0,750,223.2
726,0,751,223.2
32,752,752,224.2
815,753,753,225.2
844,0,754,225.2
544,0,755,225.2
507,0,756,225.2
870,0,757,150.5
849,0,758,150.5
688,0,759,150.5
228,0,760,150.5
483,761,761,226.6
507,762,762,227.6
203,763,763,228.6
692,764,764,305.0
28,765,765,381.5
793,0,766,381.5
180,767,767,458.2
759,768,768,535.0
126,769,769,611.9
256,0,770,611.9
460,771,771,612.9
641,772,772,613.9
383,773,773,614.9
68,0,774,538.5
807,0,775,462.0
822,0,776,462.0
544,777,777,463.0
913,0,778,386.2
223,0,779,309.3
569,780,780,387.3
983,0,781,310.2
721,782,782,311.2
285,0,783,233.9
700,784,784,312.3
706,0,785,312.3
202,0,786,312.3
123,787,787,313.3
630,788,788,392.1
441,789,789,471.0
388,790,790,472.0
106,791,791,551.1
686,792,792,552.1
858,793,793,631.4
370,794,794,632.4
193,0,795,632.4
480,0,796,632.4
212,797,797,633.4
959,798,798,634.4
976,799,799,635.4
293,0,800,556.4
881,801,801,557.4
605,0,802,478.2
249,0,803,398.9
302,804,804,399.9
612,805,805,480.4
367,806,806,561.0
825,0,807,481.3
976,808,808,482.3
398,809,809,483.3
984,0,810,483.3
83,0,811,403.2
150,812,812,484.4
782,0,813,484.4
287,0,814,404.0
881,815,815,405.0
343,0,816,324.4
548,0,817,324.4
792,0,818,243.6
434,0,819,162.7
764,820,820,244.7
309,821,821,326.8
380,822,822,327.8
808,0,823,327.8
342,0,824,327.8
213,0,825,246.3
908,0,826,246.3
210,0,827,246.3
970,0,828,246.3
169,0,829,246.3
184,0,830,164.3
558,0,831,82.2
634,0,832,0.0
85,0,833,0.0
919,0,834,0.0
147,0,835,0.0
822,0,836,0.0
469,0,837,0.0
973,838,838,83.8
471,839,839,167.7
803,0,840,167.7
151,0,841,167.7
19,842,842,251.9
676,0,843,251.9
795,0,844,251.9
958,845,845,336.4
10,0,846,336.4
719,847,847,421.1
704,0,848,337.3
823,849,849,338.3
982,0,850,338.3
165,851,851,423.4
346,852,852,424.4
20,853,853,509.7
834,854,854,595.1
760,855,855,596.1
66,0,856,596.1
748,857,857,597.1
405,0,858,597.1
243,0,859,512.2
801,0,860,512.2
514,0,861,427.1
159,0,862,341.9
890,863,863,342.9
997,864,864,343.9
321,0,865,258.4
144,0,866,258.4
805,0,867,172.7
382,0,868,172.7
705,869,869,259.6
408,0,870,259.6
52,871,871,346.7
40,0,872,346.7
26,873,873,347.7
385,0,874,261.3
618,875,875,348.8
499,0,876,348.8
285,877,877,436.5
56,0,878,436.5
697,0,879,349.6
80,0,880,349.6
373,881,881,350.6
147,882,882,438.8
674,883,883,439.8
668,0,884,439.8
449,0,885,352.3
282,886,886,440.9
797,887,887,441.9
898,888,888,530.7
483,889,889,619.6
146,0,890,619.6
889,0,891,531.5
28,0,892,443.3
609,893,893,444.3
422,0,894,444.3
559,0,895,444.3
808,0,896,355.7
787,0,897,267.0
818,898,898,268.0
255,0,899,179.1
325,0,900,179.1
504,0,901,179.1
180,0,902,179.1
203,903,903,180.1
541,0,904,180.1
557,905,905,270.6
380,906,906,361.2
529,0,907,361.2
620,908,908,362.2
605,0,909,362.2
432,910,910,453.2
84,911,911,544.3
21,912,912,635.5
411,0,913,545.2
787,914,914,636.6
739,0,915,546.1
836,0,916,455.5
546,0,917,455.5
50,0,918,364.7
14,919,919,456.6
541,0,920,365.6
464,0,921,274.5
459,922,922,275.5
807,0,923,275.5
173,0,924,184.1
484,925,925,276.6
672,0,926,276.6
672,0,927,276.6
28,928,928,369.4
665,0,929,277.5
115,0,930,277.5
472,0,931,277.5
906,0,932,185.3
768,0,933,185.3
617,0,934,185.3
592,935,935,186.3
418,0,936,186.3
860,0,937,186.3
879,0,938,93.5
247,0,939,93.5
823,940,940,187.5
335,0,941,187.5
714,0,942,187.5
920,943,943,281.8
825,0,944,281.8
741,945,945,282.8
407,0,946,282.8
720,947,947,377.5
31,0,948,377.5
585,0,949,377.5
88,0,950,283.5
459,951,951,378.6
978,952,952,473.8
545,953,953,474.8
154,954,954,570.2
46,955,955,571.2
304,956,956,666.8
735,0,957,572.1
455,0,958,572.1
383,0,959,572.1
177,0,960,572.1
580,961,961,573.1
802,962,962,574.1
111,963,963,575.1
459,0,964,479.7
816,965,965,480.7
735,0,966,385.1
292,967,967,481.8
503,0,968,481.8
175,969,969,578.7
8,0,970,578.7
268,0,971,482.6
68,972,972,483.6
618,973,973,484.6
621,0,974,484.6
524,975,975,485.6
769,976,976,583.2
571,977,977,584.2
943,0,978,584.2
624,979,979,585.2
144,0,980,585.2
319,0,981,585.2
679,0,982,488.0
35,0,983,390.7
657,0,984,390.7
528,0,985,293.2
717,0,986,195.6
357,0,987,97.9
335,0,988,97.9
295,0,989,0.0
294,0,990,0.0
686,991,991,99.1
889,0,992,99.1
35,0,993,99.1
837,0,994,99.1
858,995,995,198.6
340,0,996,198.6
82,997,997,298.3
796,998,998,398.1
627,999,999,498.0
